RstIntPer;A1;A2;B1;B2
1.0;708.3015973093958;0;0;0
2.0;1084.3213943249648;0;0;0
3.0;7088.817345313051;0;0;0
4.0;752.4456192544457;0;0;0
5.0;2001.253412698453;0;0;0
6.0;1605.919575625432;0;0;0
7.0;1972.8528352102808;0;0;0
8.0;4025.222578020732;0;0;0
9.0;725.9061230116959;0;0;0
10.0;9017.432388961937;0;0;0
11.0;2888.703451936477;0;0;0
12.0;4447.717865687606;0;0;0
13.0;4148.835772481826;0;0;0
14.0;661.2780255571406;0;0;0
15.0;1614.8623780712041;0;0;0
16.0;1004.2395588060683;0;0;0
17.0;1189.4649483072642;0;0;0
18.0;1729.3405758609679;0;0;0
19.0;2259.8505521502;0;0;0
20.0;1146.1285857982548;0;0;0
21.0;949.6412573196881;0;0;0
22.0;6870.292567435511;0;0;0
23.0;1977.1274716550367;0;0;0
24.0;11272.393632204947;0;0;0
25.0;6138.073901864302;0;0;0
26.0;9985.278181853197;0;0;0
27.0;1831.058508156048;0;0;0
28.0;3847.5413419422453;0;0;0
29.0;9356.973017014212;0;0;0
30.0;8924.470123133617;0;0;0
31.0;676.6332531950559;0;0;0
32.0;2126.486188584871;0;0;0
33.0;1670.2510005281774;0;0;0
34.0;2689.0957381756452;0;0;0
35.0;6127.838270482766;0;0;0
36.0;3573.572185783124;0;0;0
37.0;7696.378776284176;0;0;0
