RstIntPer;A1;A2;B1;B2
1.0;619.7638976457213;0;0;0
2.0;948.7812200343442;0;0;0
3.0;6202.715177148919;0;0;0
4.0;658.3899168476398;0;0;0
5.0;1751.0967361111464;0;0;0
6.0;1405.1796286722526;0;0;0
7.0;1726.2462308089955;0;0;0
8.0;3522.06975576814;0;0;0
9.0;635.1678576352338;0;0;0
10.0;7890.253340341695;0;0;0
11.0;2527.615520444417;0;0;0
12.0;3891.7531324766546;0;0;0
13.0;3630.2313009215973;0;0;0
14.0;578.6182723624979;0;0;0
15.0;1413.0045808123034;0;0;0
16.0;878.7096139553097;0;0;0
17.0;1040.7818297688561;0;0;0
18.0;1513.1730038783467;0;0;0
19.0;1977.369233131425;0;0;0
20.0;1002.8625125734728;0;0;0
21.0;830.936100154727;0;0;0
22.0;6011.505996506072;0;0;0
23.0;1729.986537698157;0;0;0
24.0;9863.344428179327;0;0;0
25.0;5370.814664131263;0;0;0
26.0;8737.118409121545;0;0;0
27.0;1602.1761946365418;0;0;0
28.0;3366.5986741994643;0;0;0
29.0;8187.351389887434;0;0;0
30.0;7808.911357741914;0;0;0
31.0;592.0540965456738;0;0;0
32.0;1860.6754150117617;0;0;0
33.0;1461.4696254621551;0;0;0
34.0;2352.958770903689;0;0;0
35.0;5361.85848667242;0;0;0
36.0;3126.875662560233;0;0;0
37.0;6734.331429248653;0;0;0
